"Сведения о страховых суммах по договорам страхования, заключенным в отчетном периоде (с учетом изменений), в разрезе страховщиков, тыс руб.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255
3837,"Общество с ограниченной ответственностью ""Страховая компания ""Ингосстрах-М""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3847,"Общество с ограниченной ответственностью Страховая компания ""Независимая страховая группа""",363715935.7453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,65798456.7155,1293629.5185,0,0,0,1273629.5185,0,20000,64504827.197,2619695.507,61815846.95,69284.74,292169979.0298,254448514.47955,25950,25950,0,0,59424502.82235,0,0,0,181739099.34277,0,0,0,0,0,0,0,0,0,0,0,13227414.53443,0,0,13227414.53443,31547.78,31547.78,0,0,37721464.55025,15980,15980,0,0,0,36539146.5,0,0,0,0,0,0,0,0,0,0,1166338.05025,76338.05025,0,0,0,1090000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,5747500,5092500,75000,0,580000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3866,"Общество с ограниченной ответственностью ""Страховая компания ""ВСК-Линия жизни""",917932692.8803,4327198.39255,4327198.39255,1802349.2,115913.6,0,115913.6,0,0,0,0,0,0,0,0,0,1686435.6,1451805.64,234629.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524849.19255,0,,,0,,,0,0,0,0,0,0,1311400.284,9322.024,118321.8,144953.75,950281.903,88520.807,1213448.90855,0,0,1082919.78355,96047,34482.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,913605494.48775,913605494.48775,0,0,0,913605494.48775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3867,"Общество с ограниченной ответственностью ""АК БАРС СТРАХОВАНИЕ""",61180716.324430004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,27529828.93014,26218216.68216,0,0,0,0,0,26218216.68216,1311612.24798,1311612.24798,0,0,33650887.39429,32495364.90252,203061.831,0,203061.831,0,713079,0,0,0,0,47786.531,0,0,0,0,0,47786.531,0,0,47786.531,0,4370221.99688,0,0,4370221.99688,27161215.54364,22508499.32102,306921.73564,4345794.48698,1121164.12059,2000,2000,0,0,0,35455,0,0,0,0,0,0,0,44950,0,44950,1038759.12059,0,0,0,0,1038759.12059,0,,0,0,0,0,0,0,0,0,0,34358.37118,7152.74409,0,27205.62709,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3870,"Общество с ограниченной ответственностью страховая компания ""ДЕЛО ЖИЗНИ""",1479149.663,153807.278,153807.278,2641.941,0,0,0,0,0,0,0,0,0,0,0,0,2641.941,0,0,1994.933,647.008,0,0,0,0,0,0,0,0,0,0,0,0,0,151165.337,0,,,0,,,0,0,0,0,0,0,151165.337,0,0,5951.625,21196.863,124016.849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1325342.385,1325342.385,0,0,0,1000,0,1324342.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3879,"Общество с ограниченной ответственностью Страховая компания ""Росгосстрах Жизнь""",51711574.991840005,39141463.89851,35368826.42552,26428339.71189,0,0,0,0,0,0,11964908.98587,293933.57164,2249585.91176,9180452.14087,235394.0062,5543.3554,14453655.72602,285202.20054,6012581.25679,6884945.21869,1270927.05,0,9775,7000,0,0,0,2775,0,0,0,0,0,0,8940486.71363,0,,,0,,,0,0,0,0,0,0,7701061.71363,0,0,7094649.84953,469828.51979,136583.34431,1239425,0,62000,488000,360000,329425,0,0,0,0,0,0,3772637.47299,3766589.47299,3766589.47299,0,590984.55059,159204.9224,3016400,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,6048,6048,,0,6048,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,12570111.09333,11268591.67233,0,0,0,9212087.51721,0,2056504.15512,1301519.421,0,0,1301519.421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3941,Общество с ограниченной ответственностью «ПСБ Страхование»,50245171.16702001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,15724669.07087,9649855.49467,0,0,0,0,0,9649855.49467,6074813.5762,916783.1132,355732.09,4802298.373,34520502.09615,31653133.04077,1768127.3735,1768127.3735,0,5291876.0598,0,0,0,0,2431613.82236,0,0,0,0,0,0,0,0,0,0,0,17746462.06599,0,6217081.96904,11529380.09695,4415053.71912,4371199.02112,43670,184.698,2849044.05538,12000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2837044.05538,375428.70945,0,0,0,2461615.34593,0,,0,0,0,0,0,0,0,0,0,18325,0,0,18325,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943,"Общество с ограниченной ответственностью ""Страховая компания ""АК БАРС-Мед""",7830901.55078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,7830901.55078,0,0,0,0,0,0,0,7830901.55078,0,6699902.52297,1130999.02781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3947,Акционерное общество «Страховая компания ГАРДИЯ»,961424660.08835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,21244675,21244675,0,0,0,0,0,21244675,0,0,0,0,940002485.08835,572849815.08835,72880,72880,0,0,0,1724249.70034,1724249.70034,0,3289888.70019,0,0,0,0,0,0,0,0,0,0,0,567758826.68782,0,0,567758826.68782,3970,0,0,3970,315093890,4600,4600,0,0,0,0,166355440,166355440,0,0,0,0,0,45580200,0,45580200,103153650,0,0,0,0,103153650,0,,0,0,0,0,0,0,0,0,0,52058780,0,0,52058780,,,,,,,,,0,177500,177500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3954,"Общество с ограниченной ответственностью ""РУССКОЕ СТРАХОВОЕ ОБЩЕСТВО ""ЕВРОИНС""",1274355810.3435698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1139610131.52028,1129897334.42968,1078840688.55592,3571845,0,6065410.1,0,41419390.77376,9712797.0906,0,5421174.068,4291623.0226,134745678.82329,92234936.03167,16649449.07594,16279994.07594,369455,0,0,203678.8,203678.8,0,60905397.428,901644.53545,0,0,0,0,0,901644.53545,895611.53545,0,6033,0,7644523.08248,4860156.59475,319623.63221,2464742.85552,5930243.1098,4915908.26017,597552.47595,416782.37368,23227689.42746,153700,153700,0,0,0,0,1707192.5,1700590.5,6602,0,0,0,0,613342.72189,613342.72189,0,20420454.20557,2988.13431,0,592000,12400,19813066.07126,333000,,0,0,0,0,0,0,226500,106500,0,19283053.36416,16763741.13068,0,2519312.23348,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3969,"Общество с ограниченной ответственностью ""Страховая Компания Чабб""",2338640.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2338640.43,28051.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28051.239,0,0,28051.239,0,0,0,0,2293214.191,0,0,0,0,0,0,0,0,0,0,0,0,0,879166.844,879166.844,0,1414047.347,0,0,0,0,1414047.347,0,,0,0,0,0,0,0,0,0,17375,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3972,"Общество с ограниченной ответственностью ""Страховая Компания ""Ренессанс Жизнь""",386315842.62274003,152968208.82461,143540152.85123,113400648.63103,0,0,0,0,0,0,98358039.15379,48918723.12059,11709968.80034,37489704.0394,166419.1051,73224.08836,10243884.90092,7209661.04254,2789092.67604,245131.18234,0,0,4798724.57632,3656134.30756,953062.67148,189527.59728,0,0,0,0,0,0,0,0,30139504.2202,0,,,0,,,1504013.9618,0,0,14108.62764,84501.79932,1405403.53484,10592315.2584,45261.27704,254050.49719,5965411.74135,4242165.74202,85426.0008,18043175,18043175,0,0,0,0,0,0,0,0,0,0,9428055.97338,8874737.35771,8243931.30024,0,7656550.30886,587380.99138,0,0,130912.85247,72178.44247,58734.41,0,0,,0,0,0,0,0,0,499893.205,499193.205,700,0,0,0,0,,0,,,0,553318.61567,0,,0,0,0,0,0,,,0,0,0,341541.10021,0,0,0,153988.75688,187552.34333,211777.51546,211777.51546,,0,0,0,0,,0,0,0,0,5616.42864,0,,0,0,0,0,5616.42864,0,0,0,0,5616.42864,233342017.36949,72739073.79661,0,0,0,0,0,72739073.79661,160602943.57288,0,0,160602943.57288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3984,"Общество с ограниченной ответственностью ""Капитал Лайф Страхование Жизни""",1187994200.8918,15542426.23291,14911258.77621,6788159.15583,0,0,0,0,0,0,4339931.55669,2962596.46773,1314466.92496,59642.356,3225.808,0,2280014.94986,127537.5,459788.54591,1046919.16861,645769.73534,0,19560,19440,120,0,0,0,148652.64928,121372.27076,12715.37852,0,0,14565,8123099.62038,0,,,0,,,0,0,0,0,0,0,6887773.20838,0,6860,3628493.74672,2225070.0996,1027349.36206,87876.412,51300,14934.084,13392.328,6900,1350,1147450,0,0,0,0,1147450,631167.4567,350903.79074,344453.79074,0,112991.6942,171914.07798,59548.01856,0,0,0,0,0,0,,6000,0,0,3000,3000,0,0,0,0,0,0,0,450,,0,,,450,280263.66596,271093.66596,,0,26231.216,218819.10396,26043.346,0,,,0,0,0,9170,0,550,8620,0,0,0,0,,0,0,0,0,,0,0,0,0,789905.17296,0,,0,0,0,0,789905.17296,0,0,0,0,789905.17296,1171661869.48593,129131191.11006,38442,0,3389600,28443766.3977,0,97259382.71236,1042530678.37587,474415,86353637.04096,955702626.33491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3987,"Акционерное общество «Инлайф страхование жизни""",4890865.45493,4890865.45493,4887273.24193,4711227.24193,813737.323,813737.323,0,0,0,0,3572334.70693,2731.07099,3569603.63594,0,0,0,325155.212,8839.604,316315.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176046,0,,,0,,,0,0,0,0,0,0,176046,0,0,176046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3592.213,3592.213,0,0,0,0,0,0,0,0,0,0,0,,3592.213,0,0,0,3592.213,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3998,"Общество с ограниченной ответственностью ""Страховая Компания Чабб Жизнь""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4001,"Общество с ограниченной ответственностью Страховая компания ""Чулпан-Жизнь""",133110.878,75266.878,75266.878,293.255,0,0,0,0,0,0,0,0,0,0,0,0,293.255,293.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74973.623,0,,,0,,,0,0,0,0,0,0,74973.623,22495,14404,38074.623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,1705,0,,0,0,0,0,1705,0,0,855,750,100,56139,56139,0,0,0,0,0,56139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4008,"Общество с ограниченной ответственностью ""Общество страхования жизни ""РЕСО-Гарантия""",115992.77274,58088.29374,58088.29374,28298.36474,0,0,0,0,0,0,0,0,0,0,0,0,28298.36474,28298.36474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29789.929,0,,,0,,,0,0,0,0,0,0,29789.929,0,154.484,997.366,1957.395,26680.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,57904.479,57904.479,0,0,0,0,0,57904.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4013,"Общество с ограниченной ответственностью Страховая компания ""МАКС страхование жизни""",15916838.155019999,12894372.73944,12894372.73944,10292264.46382,937369.46727,0,451253.90696,453932.34923,32183.21108,0,8638536.46535,2597093.57794,1350748.79897,4430204.90713,260489.18131,0,709658.5312,12300,696958.5312,400,0,0,6700,6700,0,0,0,0,0,0,0,0,0,0,2602108.27562,0,,,0,,,0,0,0,0,0,0,2602108.27562,0,1438105.17549,83042.5,163966.9029,916993.69723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,3022465.41558,1942465.41558,0,0,0,0,0,1942465.41558,1080000,0,0,1080000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
